name,@lat,@lon,type
Shell,32.628799,-117.046248,fuel
Arco,33.1328524,-117.1933743,fuel
76,32.5835161,-117.1139108,fuel
Costco Gasoline,32.782955,-117.127294,fuel
Arco,32.807335,-116.959978,fuel
Arco,33.150965,-117.1975569,fuel
Shell,32.980427,-117.077427,fuel
Arco,33.1168797,-117.0956258,fuel
Speedway Express,32.7098117,-117.0621022,fuel
USA Gasoline,32.790141,-117.098098,fuel
Mobil,33.2086198,-117.388159,fuel
Speedway,32.7482783,-117.1234783,fuel
XCEL,33.2563035,-116.3833549,fuel
,32.75482,-117.099452,fuel
Valero,33.0479604,-117.285026,fuel
Shell,32.8351695,-116.765482,fuel
4S Ranch Gas Station and Car Wash,33.014927,-117.111438,fuel
76,32.711918,-117.1299037,fuel
Chevron,32.614694,-117.024499,fuel
Shell,32.9369213,-117.1082616,fuel
Encinitas Chevron,33.0485375,-117.283939,fuel
CFO,32.9521417,-117.062749,fuel
76,32.831678,-116.98343,fuel
Shell,33.130873,-117.209523,fuel
Kwik Serv,39.1005241,-121.5511661,fuel
Arco,38.7443698,-121.2739512,fuel
Mobil,34.095561,-118.152366,fuel
,38.0841895,-122.2338623,fuel
Circle K,33.7068681,-116.2693021,fuel
Arco,38.7297243,-121.291,fuel
Chevron,38.7297885,-121.28999,fuel
,39.140904,-121.61815,fuel
Shell,33.5559907,-117.1779363,fuel
76,39.1564464,-122.1464193,fuel
Chevron,39.1555438,-122.1458185,fuel
Shell,39.1602026,-122.161246,fuel
76,34.0316582,-118.153439,fuel
Mobil,34.031921,-118.154147,fuel
Shell,34.0428281,-118.2162,fuel
Valero,34.0403747,-118.2121714,fuel
76,34.0692525,-118.291986,fuel
PGE CNG Station,37.5180292,-122.263522,fuel
Chevron,34.0667917,-118.2698071,fuel
Shell,34.0704341,-118.267519,fuel
Chevron,34.0819143,-118.260491,fuel
Shell,34.0259251,-118.229574,fuel
76,34.0729235,-118.220036,fuel
USA Gasoline,34.0733788,-118.217175,fuel
Arco,34.0740022,-118.212097,fuel
Sinclair,34.0735207,-118.208118,fuel
Shell,34.0735162,-118.207495,fuel
Shell,34.0859145,-118.187944,fuel
,38.7742053,-121.3045055,fuel
City Gasoline,36.8565064,-121.4016757,fuel
Alliiance Mini Mart,36.7905446,-121.3220321,fuel
76,37.7229871,-122.4529257,fuel
United Oil,34.100907,-118.130579,fuel
Chevron,33.916032,-118.396476,fuel
Chevron,34.0388953,-118.555815,fuel
76,34.0389131,-118.5547532,fuel
,38.7506896,-121.2639526,fuel
Chevron,38.7516254,-121.2504925,fuel
,38.7730292,-121.2648449,fuel
76,34.0254326,-118.4708001,fuel
Shell,34.0250746,-118.470301,fuel
Chevron,34.0253108,-118.469616,fuel
7-Eleven,38.8109777,-121.2829778,fuel
Chevron,38.7888409,-121.281336,fuel
Chevron,33.9428147,-118.137356,fuel
Chevron,33.9755436,-118.1236621,fuel
Mobil,33.9108748,-118.160542,fuel
,33.8894853,-118.1682938,fuel
76,33.8889994,-118.206798,fuel
Arco,33.8884715,-118.1933596,fuel
Alameda Fuel,33.888908,-118.2196673,fuel
Mobil,33.8886133,-118.250499,fuel
Valero,37.7405002,-122.4648289,fuel
Arco,33.8732371,-118.2913884,fuel
Shell,33.8318934,-118.29063,fuel
Mobil,33.8312533,-118.289905,fuel
Mobil,33.8099169,-118.290712,fuel
,38.7958924,-121.3131507,fuel
Chevron,38.7958529,-121.314675,fuel
Fastbreak Express,37.5543742,-122.2921859,fuel
Fuel Depot,34.4441477,-119.7888558,fuel
Conserv Fuel,34.4382693,-119.7508228,fuel
,34.4401579,-119.758481,fuel
Specialty Solid Waste CNG Station,37.3815307,-121.9574586,fuel
Chevron,34.1136567,-117.829315,fuel
,34.1282691,-117.8294023,fuel
Valero,34.1228647,-117.794625,fuel
United Oil,32.8280005,-117.206523,fuel
,37.3348357,-122.0232071,fuel
C&R,32.8340941,-117.1752394,fuel
Arco,32.755645,-117.122514,fuel
76,32.7556171,-117.1260583,fuel
Shell,37.8192124,-122.2442463,fuel
Chevron,37.8259274,-122.277937,fuel
,37.8386541,-122.2952911,fuel
Chevron,38.7489257,-121.270201,fuel
,34.2114567,-119.0093182,fuel
,34.2166159,-119.005579,fuel
Chevron,37.2633894,-121.96102,fuel
Superior Car Wash & Detail Center,33.6279324,-117.932412,fuel
,34.231182,-119.0186672,fuel
Exxon,33.6173713,-117.930574,fuel
76,33.7751055,-118.121994,fuel
Valero,33.8745344,-118.203172,fuel
Valero,33.8809862,-118.18615,fuel
Chevron,38.649384,-121.3273571,fuel
76,33.7755663,-118.198294,fuel
Chevron,36.6837821,-121.7923679,fuel
Mobil,33.790155,-118.193358,fuel
Chevron,33.7895803,-118.188937,fuel
76,33.7901403,-118.197843,fuel
Sunoco,38.6481987,-121.3301867,fuel
Shell,38.6150645,-121.268844,fuel
Chevron,38.615804,-121.2694536,fuel
,37.6187226,-122.0348847,fuel
76 Gas + Food Village,33.5428122,-117.784987,fuel
Chevron,40.4923951,-121.889072,fuel
Mobil,34.0110129,-118.081246,fuel
Chevron,34.0369958,-118.1308157,fuel
Arco,34.0219969,-118.133807,fuel
Chevron,34.0225562,-118.1336,fuel
Chevron,33.6825054,-117.6670813,fuel
Shell,38.1238465,-122.227611,fuel
76,34.0858508,-118.122834,fuel
Mobil,34.0404232,-118.082098,fuel
Arco,34.0520505,-118.063948,fuel
Shell,34.0515189,-118.064693,fuel
Shell,34.0986689,-118.073101,fuel
Mobil,34.0629899,-118.065148,fuel
,35.4216109,-119.0191135,fuel
Quick Stop,37.8201843,-122.2539886,fuel
,37.8194483,-122.2535419,fuel
Arco,34.0341814,-117.5752466,fuel
Chevron,34.0328191,-117.575212,fuel
,33.8781757,-118.1255289,fuel
,33.8781913,-118.1249898,fuel
Costco Gasoline,38.6443307,-121.1081642,fuel
Chevron,39.404429,-123.351614,fuel
ARCO,39.4038309,-123.351811,fuel
,39.4151079,-123.3548055,fuel
,39.4185394,-123.3550201,fuel
mobil,32.8297697,-117.1036781,fuel
Mobil,34.0783324,-118.279553,fuel
US Pro Gasoline,37.3457515,-121.995251,fuel
Chevron,33.4671857,-117.699716,fuel
Mobil,33.5634556,-117.64645,fuel
Econo,37.6185538,-122.4411575,fuel
Chevron,33.6614957,-117.8753187,fuel
Shell,34.0732679,-117.75182,fuel
Chevron,34.072927,-117.7526633,fuel
Eco Gas & Mart,36.7606515,-121.7515442,fuel
Chevron,38.9229658,-121.056527,fuel
Laguna Hills Car Wash,33.6022703,-117.6917158,fuel
Mobil,33.5271824,-117.717064,fuel
Shell,33.5582926,-117.7237153,fuel
Chevron,33.0680042,-117.06648,fuel
,33.7463996,-117.4528207,fuel
Alliance,37.1656293,-122.360277,fuel
76,33.855871,-117.83775,fuel
Mobil,33.8531494,-117.815495,fuel
Shell,33.7786366,-117.486772,fuel
Quik Stop,36.8533105,-121.4215533,fuel
Chevron,37.9389563,-122.515484,fuel
Chevron,33.8677808,-117.539814,fuel
USA Gasoline,32.7451816,-117.2477194,fuel
Arco,33.6840393,-117.3666472,fuel
Chevron,33.4977509,-117.6629661,fuel
Shelter Cove General Store Gas,40.036551,-124.0520752,fuel
,36.1368688,-119.1342533,fuel
Shell,35.6264395,-118.4748244,fuel
Chevron,34.9924643,-117.541085,fuel
Pemex,34.5356004,-117.3985736,fuel
Shell,33.6079857,-114.6058796,fuel
7-Eleven,33.4819424,-117.0930052,fuel
76,34.9040694,-116.8864871,fuel
Arco,35.368242,-119.038491,fuel
Arco,37.8122423,-121.294133,fuel
American Gas - Mini Mart,34.0988332,-118.0507293,fuel
Baldwin Gas & Food Mart,34.0904634,-118.0485115,fuel
,34.0745997,-118.0534304,fuel
76,34.068038,-118.042001,fuel
Mobil,34.0408761,-118.049496,fuel
Chevron,34.0166542,-118.078574,fuel
76,34.0018481,-118.084216,fuel
Speedway,33.992465,-118.0899194,fuel
DoubleTime,36.6679719,-121.628133,fuel
Chevron,33.9983562,-118.126317,fuel
Pemex,33.9970351,-118.1231668,fuel
Arco,33.9967604,-118.124236,fuel
Shell,37.6636228,-122.463786,fuel
,37.6301352,-122.4368182,fuel
,37.6303304,-122.4363728,fuel
Quik Stop,36.9362361,-121.743559,fuel
76,34.1965346,-119.160276,fuel
Arco,34.17374,-119.159635,fuel
,36.9409983,-121.7879734,fuel
Mobil,34.2224569,-119.157837,fuel
7-Eleven,37.8276613,-122.2510357,fuel
,34.2727885,-119.2609533,fuel
Chevron,34.2732782,-119.248239,fuel
76,34.2733888,-119.266789,fuel
Shell,34.1007151,-118.291467,fuel
Valero,34.2785003,-119.294377,fuel
Chevron,36.5841889,-118.0579734,fuel
Shell,34.4006103,-119.2999505,fuel
Thrifty Gas Station,34.3983342,-119.300029,fuel
Circle K,34.4226352,-119.2894544,fuel
,37.6230403,-122.4287862,fuel
Mobil,33.5546865,-116.6798033,fuel
Costco Gasoline,33.1878613,-117.2756667,fuel
Chevron,37.5083902,-121.9627722,fuel
,35.6245331,-117.6702808,fuel
76,34.0647105,-118.34429,fuel
Chevron,34.0764172,-118.3443337,fuel
Chevron,34.0759395,-118.3437355,fuel
Texaco,35.371712,-117.6325069,fuel
Shell,34.8509699,-114.6240593,fuel
Bel-air Aisle 1,38.6423703,-121.532492,fuel
Shell,37.5960692,-122.0544194,fuel
Texaco,35.1426802,-118.449464,fuel
Chevron,35.1272922,-118.413633,fuel
,35.1302326,-118.4346717,fuel
Chevron,35.1316787,-118.446229,fuel
Circle K,35.1313789,-118.444101,fuel
Love's,35.1255468,-118.408203,fuel
Mountain Village,35.1323033,-118.452687,fuel
Chevron,32.7486177,-117.1214225,fuel
Chevron,38.8508395,-121.285213,fuel
Shell,36.2359309,-121.769112,fuel
Chevron,33.1456854,-117.2417008,fuel
Costco Gasoline,37.7207644,-122.1831033,fuel
,35.0514223,-118.172918,fuel
,35.0474725,-118.17166,fuel
Jawbone Canyon Store,35.2958928,-118.006213,fuel
,37.6287118,-122.4160945,fuel
Shell,35.5942714,-117.6891533,fuel
,35.6046899,-117.674297,fuel
Don's Gas / Market,34.821477,-118.9450593,fuel
Chevron,34.0625222,-118.0466485,fuel
Arco,34.0625345,-118.0421249,fuel
Fuel 24:7,37.798587,-122.44452,fuel
Chevron,37.8007618,-122.4309646,fuel
Shell,37.800661,-122.431458,fuel
76,37.742133,-122.4223977,fuel
Arco,35.2646088,-116.075161,fuel
76,38.729761,-121.271777,fuel
Chevron,38.7442419,-121.3085716,fuel
Shell,34.0623243,-118.118689,fuel
Shell,35.1326722,-116.208976,fuel
Roy's Gasoline,34.5586087,-115.744068,fuel
Arco,37.5610557,-122.0118423,fuel
76,37.5605711,-122.0124283,fuel
Chevron,37.5601246,-122.011577,fuel
Mobil,33.9565385,-118.442902,fuel
76,36.4502893,-121.3648969,fuel
Shell,34.0983692,-118.313201,fuel
Double AA,37.7162019,-122.4720372,fuel
Redmond 76,37.2284672,-121.8849326,fuel
76,37.9253456,-122.5183323,fuel
Chevron,37.9295704,-122.5163545,fuel
Chevron,37.9456262,-122.5209742,fuel
Shell,37.9453053,-122.520068,fuel
76,37.8100468,-122.245264,fuel
San Benito Petroleum,36.8532282,-121.3992661,fuel
,37.0899446,-122.0902755,fuel
,37.248405,-121.9566804,fuel
76,37.6069005,-122.0643709,fuel
Chevron,37.6084945,-122.0658567,fuel
76,37.6281853,-122.0446053,fuel
National Petroleum,37.5902123,-122.0699495,fuel
Chevron,37.5896437,-122.0702963,fuel
Power Market,38.7139643,-121.3638549,fuel
Chevron,33.9972573,-118.145967,fuel
Valero,34.0830793,-118.3270118,fuel
Chevron,34.1219693,-117.9079822,fuel
Shell,34.1212716,-117.907152,fuel
Shell,33.1678843,-117.213329,fuel
Marina,37.7134764,-122.1600633,fuel
Steve's,38.7904334,-121.2358616,fuel
Shell,37.6312518,-122.078148,fuel
Mobil,37.6315518,-122.0761998,fuel
